X,Y,EARLY_VOTE_CENTER,LOCATION,ADDRESS,VOTING_SPACE,DATES_OPEN,TIME_OPEN,STATUS,MAR_MARID,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_ZIPCODE,MAR_WARD,MAR_ANC,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GIS_ID,SE_ANNO_CAD_DATA,OBJECTID
398458.990000002,142259.460000001,EDVC,BARNARD ELEMENTARY SCHOOL,"430 Decatur Street, NW",Auditorium,"Tuesday, November 5, 2024",07:00:00,Open,248305,430 DECATUR STREET NW,398458.99,142259.46,38.94823095,-77.01777708,20011,Ward 4,4C,{BC6E1A37-B655-42BC-A648-E6B769AB2FC4},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_45,,45
397299.82,144705.449999999,EDVC,FORT STEVENS RECREATION CENTER,"1327 Van Buren Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,290152,1327 VAN BUREN STREET NW,397299.82,144705.45,38.97026192,-77.03115889,20012,Ward 4,4A,{A432589A-8130-4383-B3A0-6D1243EF7BB9},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_46,,46
398328.729999997,144297.760000002,EDVC,IDA B. WELLS MIDDLE SCHOOL,"405 Sheridan Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,319880,405 SHERIDAN STREET NW,398328.73,144297.76,38.96659191,-77.01928473,20011,Ward 4,4B,{2C4402E4-6565-414B-9BEE-FE326940DB5A},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_47,,47
400010.18,143562.690000001,EDVC,LASALLE-BACKUS EDUCATION CAMPUS,"501 Riggs Road, NE",Auditorium,"Tuesday, November 5, 2024",07:00:00,Open,294489,501 RIGGS ROAD NE,400010.18,143562.69,38.95997214,-76.99988254,20011,Ward 4,4B,{99A45398-4B93-4B8D-9118-22CEB3CEB758},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_49,,49
397262.039999999,141530.100000001,EDVC,POWELL ELEMENTARY SCHOOL,"1350 Upshur Street, NW",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,255302,1350 UPSHUR STREET NW,397262.04,141530.1,38.94165742,-77.03158217,20011,Ward 4,4C,{AC6BE835-E7BA-43C1-BAC4-999B033B0687},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_51,,51
395218.789999999,143832.670000002,EDVC,ST. JOHN'S COLLEGE HIGH SCHOOL,"2607 Military Road, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,259840,2607 MILITARY ROAD NW,395218.79,143832.67,38.96239084,-77.05516696,20015,Ward 4,3G,{C45A183A-AE96-4794-BC40-CF3715AFBAFA},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_52,,52
397056.590000004,146306.329999998,EDVC,SHEPHERD RECREATION CENTER,"7800 14th Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,256319,7800 14TH STREET NW,397056.59,146306.33,38.98468223,-77.03397253,20012,Ward 4,4A,{9B3B01AF-36ED-4C2E-8F8E-1B463118863C},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_53,,53
398024.759999998,145235.93,EDVC,TAKOMA EDUCATION CAMPUS,"7010 Piney Branch Rd, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,250934,7010 PINEY BRANCH ROAD NW,398024.76,145235.93,38.97504287,-77.02279493,20012,Ward 4,4B,{1CA51450-7036-4875-AB04-76A8CEE59068},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_54,,54
401867.899999999,140624.559999999,EDVC,BURROUGHS ELEMENTARY SCHOOL,"1820 Monroe Street, NE",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,294530,1820 MONROE STREET NE,401867.9,140624.56,38.93350266,-76.97845637,20018,Ward 5,5B,{EA2803D2-7ECE-4CDB-973F-D396FD7FAA41},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_55,,55
398899.210000001,137751.949999999,EDVC,DUNBAR SENIOR HIGH SCHOOL,"101 N Street, NW",Hallway,"Tuesday, November 5, 2024",07:00:00,Open,309947,101 N STREET NW,398899.21,137751.95,38.90762655,-77.01269148,20001,Ward 5,5E,{468BB3A9-7551-49A8-A104-602B6818E53E},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_56,,56
400997.43,137362.43,EDVC,JOSEPH H. COLE RECREATION CENTER,"1299 Neal Street, NE",Community Room,"Tuesday, November 5, 2024",07:00:00,Open,294512,1299 NEAL STREET NE,400997.43,137362.43,38.90411774,-76.98850077,20002,Ward 5,5D,{FFE41854-A8B6-4EE1-9A5A-55591790DE93},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_57,,57
403242.609999999,140040.210000001,EDVC,MT. HOREB BAPTIST CHURCH,"3015 Earl Place, NE",Fellowship Hall,"Tuesday, November 5, 2024",07:00:00,Open,287380,3015 EARL PLACE NE,403242.61,140040.21,38.92823432,-76.96260376,20018,Ward 5,5C,{20E26EB3-B894-41FA-9449-E3560CD153A4},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_59,,59
400707.329999998,139700.260000002,EDVC,NOYES EDUCATION CAMPUS,"2725 10th Street, NE",Auditorium,"Tuesday, November 5, 2024",07:00:00,Open,289594,2725 10TH STREET NE,400707.33,139700.26,38.92517798,-76.99184288,20018,Ward 5,5B,{22D04E0B-FD6E-4F72-873F-A4DA9ECD8F5F},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_60,,60
399624.609999999,138562.329999998,EDVC,McKINLEY TECHNOLOGY HIGH SCHOOL,"151 T Street, NE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,296345,151 T STREET NE,399624.61,138562.33,38.91492701,-77.00432847,20002,Ward 5,5E,{26C6FC17-7721-48F5-AB4D-35442E383B3E},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_62,,62
400306.399999999,135397.02,EDVC,EASTERN MARKET,"225 7th Street, SE",North Hall,"Tuesday, November 5, 2024",07:00:00,Open,300829,225 7TH STREET SE,400306.4,135397.02,38.88641312,-76.99646843,20003,Ward 6,6B,{4D443508-FC7A-40B2-B8A9-C7043A7CDE9A},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_64,,64
398009.640000001,134675.120000001,EDVC,JEFFERSON MIDDLE SCHOOL ACADEMY,"801 7th Street, SW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,276812,801 7TH STREET SW,398009.64,134675.12,38.87990744,-77.02293879,20024,Ward 6,6D,{9A25D5C2-A241-4736-918D-3AEA70F4F0C8},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_65,,65
400295.869999997,137211.43,EDVC,J.O. WILSON ELEMENTARY SCHOOL,"660 K Street, NE",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,288841,660 K STREET NE,400295.87,137211.43,38.902758,-76.99658902,20002,Ward 6,6C,{73ACAEDC-FCE5-429F-B2D9-2359003A91AB},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_66,,66
401302.840000004,135259.199999999,EDVC,PAYNE ELEMENTARY SCHOOL ,"1445 C Street, SE",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,289721,1445 C STREET SE,401302.84,135259.2,38.88517068,-76.98498373,20003,Ward 6,6B,{A67A46D7-A914-4F9C-9DF7-6AE98EC965F3},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_68,,68
399999.619999997,136494.280000001,EDVC,STUART-HOBSON MIDDLE SCHOOL,"410 E Street, NE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,294483,410 E STREET NE,399999.62,136494.28,38.8962977,-77.00000438,20002,Ward 6,6C,{95A1A620-2DDB-48A5-A3A5-0957D1DD26DC},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_69,,69
400879.859999999,135056.920000002,EDVC,WATKINS ELEMENTARY SCHOOL,"420 12th Street, SE",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,294486,420 12TH STREET SE,400879.86,135056.92,38.88334865,-76.98985917,20003,Ward 6,6B,{45F05862-EA5D-4DF0-AA29-8E594B288E1C},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_70,,70
405859.649999999,136165.390000001,EDVC,KELLY MILLER MIDDLE SCHOOL,"301 49th Street, NE",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,294476,301 49TH STREET NE,405859.65,136165.39,38.89331541,-76.93245515,20019,Ward 7,7C,{5D410F81-80E4-42EC-9748-B9F26D90C997},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_72,,72
403676.68,135018.920000002,EDVC,KIMBALL ELEMENTARY SCHOOL,"3375 Minnesota Avenue, SE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,294565,3375 MINNESOTA AVENUE SE,403676.68,135018.92,38.88299909,-76.95762462,20019,Ward 7,7F,{CF9B1D0D-79A2-4F14-BD53-3E5FF7E4FCE6},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_73,,73
401500.82,136616.940000001,EDVC,MINER ELEMENTARY SCHOOL,601 15th Street NE,Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,289548,601 15TH STREET NE,401500.82,136616.94,38.89740105,-76.98269889,20002,Ward 7,6A,{2533ED10-7A2D-44D7-A09C-12DF0ECBBCF1},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_74,,74
406004.159999996,135348.370000001,EDVC,NALLE ELEMENTARY SCHOOL,"219 50th Street, SE",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,294474,219 50TH STREET SE,406004.16,135348.37,38.88595442,-76.93079651,20019,Ward 7,7E,{352A0D46-0BB4-49DA-B8DF-B303F8C5BA98},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_75,,75
403093.170000002,133585.82,EDVC,RANDLE HIGHLANDS ELEMENTARY SCHOOL,"1650 30th Street, SE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,156337,1650 30TH STREET SE,403093.17,133585.82,38.87009174,-76.96435628,20020,Ward 7,7B,{1BC08B07-F78E-4CE2-89C1-1E34E0C6007F},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_76,,76
403660.170000002,136398.670000002,EDVC,RIVER TERRACE EDUCATION CAMPUS,"420 34th Street, NE",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,294485,420 34TH STREET NE,403660.17,136398.67,38.89542846,-76.95780756,,Ward 7,7D,{F6CD24C4-C70C-4A95-B7CB-9C7AB5AFAAB7},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_77,,77
403810.700000003,132797.739999998,EDVC,ST. TIMOTHY'S EPISCOPAL CHURCH,"3601 Alabama Ave, SE",Multi- Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,33104,3601 ALABAMA AVENUE SE,403810.7,132797.74,38.86298957,-76.95609229,20020,Ward 7,7B,{D0D97EF6-82F2-458E-862E-D67DF38E217A},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_78,,78
402579.32,132116.949999999,EDVC,ALLEN A.M.E. CHURCH,"2498 Alabama Avenue, SE",Chapel Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,46843,2498 ALABAMA AVENUE SE,402579.32,132116.95,38.85686087,-76.97028307,20020,Ward 8,8B,{BEA42D01-A716-41C5-9A95-46C8511E28C9},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_80,,80
401468.560000002,133584.5,EDVC,ANACOSTIA HIGH SCHOOL,"1601 16th Street, SE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,155922,1601 16TH STREET SE,401468.56,133584.5,38.87008406,-76.98307725,20020,Ward 8,8A,{ABA31DFA-F617-413D-9DC8-7252C1C48090},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_81,,81
399881.710000001,130079.640000001,EDVC,BALLOU HIGH SCHOOL,"3401 4th Street, SE",Dance Studio,"Tuesday, November 5, 2024",07:00:00,Open,294567,3401 4TH STREET SE,399881.71,130079.64,38.83851166,-77.0013625,20032,Ward 8,8C,{28C2B00A-C137-4161-96FD-2B255357E6F8},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_82,,82
